front,back,pos,claude_classification
I'm glad that...,Me alegra que...,PHRASE,4 - Advanced
It's a shame that...,Es una lástima que...,PHRASE,4 - Advanced
Hopefully.../I wish...,Ojalá...,PHRASE,4 - Advanced
Unless...,A menos que...,PHRASE,4 - Advanced
Although/even though,Aunque...,PHRASE,4 - Advanced
However...,Sin embargo...,PHRASE,4 - Advanced
On the other hand...,Por otro lado...,PHRASE,4 - Advanced
On the other hand/instead,En cambio...,PHRASE,4 - Advanced
In fact...,De hecho...,PHRASE,4 - Advanced
Actually/in reality,En realidad...,PHRASE,4 - Advanced
On the contrary,Al contrario,PHRASE,4 - Advanced
By the way...,Por cierto...,PHRASE,4 - Advanced
By the way/on purpose,A propósito...,PHRASE,4 - Advanced
As for.../regarding...,En cuanto a...,PHRASE,4 - Advanced
With respect to...,Con respecto a...,PHRASE,4 - Advanced
What I like is...,Lo que me gusta es...,PHRASE,4 - Advanced
The thing is that...,Lo que pasa es que...,PHRASE,4 - Advanced
It turns out that...,Resulta que...,PHRASE,4 - Advanced
I forgot,Se me olvidó,PHRASE,4 - Advanced
Can you help me?,¿Me puedes ayudar?,PHRASE,4 - Advanced
What do you think?,¿Qué te parece?,PHRASE,4 - Advanced
What's your opinion?,¿Qué opinas?,PHRASE,4 - Advanced
In my opinion...,En mi opinión...,PHRASE,4 - Advanced
From my point of view...,Desde mi punto de vista...,PHRASE,4 - Advanced
I agree,Estoy de acuerdo,PHRASE,4 - Advanced
I disagree,No estoy de acuerdo,PHRASE,4 - Advanced
You're right,Tienes razón,PHRASE,4 - Advanced
You're wrong,No tienes razón,PHRASE,4 - Advanced
Cheer up! / You can do it!,¡Ánimo!,PHRASE,4 - Advanced
Good luck!,¡Buena suerte!,PHRASE,4 - Advanced
Enjoy your meal!,¡Buen provecho!,PHRASE,4 - Advanced
Cheers! / Bless you!,¡Salud!,PHRASE,4 - Advanced
Congratulations!,¡Felicitaciones!,PHRASE,4 - Advanced
Get well soon!,¡Que te mejores!,PHRASE,4 - Advanced
How delicious!,¡Qué rico!,PHRASE,4 - Advanced
You don't say! / No way!,¡No me digas!,PHRASE,4 - Advanced
Of course! / Why not!,¡Cómo no!,PHRASE,4 - Advanced
At what time...?,¿A qué hora...?,PHRASE,4 - Advanced
When shall we meet?,¿Cuándo nos vemos?,PHRASE,4 - Advanced
We'll meet at...,Quedamos a las...,PHRASE,4 - Advanced
